Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Acc_3,F1_score_3,Loss
rcm,"(65.56, 5.62)","(64.76, 3.78)","(66.14, 3.13)","(64.47, 1.79)","(57.24, 2.16)","(53.86, 2.15)","(57.65, 0.81)      视频特征+音频 多模态标签"
rcm,"(78.51, 0.75)","(78.87, 0.7)","(81.34, 0.6)","(81.24, 0.67)","(69.85, 0.81)","(67.0, 2.32)","(49.93, 1.18)         视频特征+音频+视频 多模态标签"
rcm,"(80.18, 1.59)","(80.35, 1.24)","(82.37, 0.84)","(82.18, 0.84)","(70.55, 1.12)","(67.78, 2.14)","(248.13, 1.39)     多任务训练"
rcm,"(58.73, 16.27)","(56.55, 16.86)","(58.71, 16.34)","(55.14, 18.02)","(25.08, 10.11)","(20.14, 15.35)","(84.43, 1.17)"
rcm,"(78.07, 1.95)","(78.7, 1.69)","(81.13, 1.36)","(81.3, 1.29)","(70.24, 1.34)","(68.23, 1.61)","(307.92, 8.31)"
rcm,"(77.94, 2.08)","(78.59, 1.85)","(81.08, 1.59)","(81.27, 1.47)","(69.93, 1.66)","(67.78, 1.58)","(230.81, 6.29)"
rcm,"(80.48, 1.62)","(80.73, 1.25)","(82.73, 0.85)","(82.62, 0.92)","(70.94, 0.59)","(68.01, 1.17)","(248.33, 3.64)     多任务训练 0.6 1 0.6 8"
rcm,"(80.04, 1.29)","(80.55, 1.18)","(82.94, 0.77)","(83.03, 0.71)","(71.2, 0.89)","(68.76, 1.78)","(274.44, 3.32)      多任务训练 调节了损失权重"
rcm,"(80.61, 1.7)","(80.97, 1.48)","(83.09, 1.19)","(83.08, 1.19)","(70.81, 1.5)","(68.67, 2.12)","(292.08, 3.43)"
rcm,"(81.27, 1.33)","(81.62, 1.17)","(83.61, 1.36)","(83.62, 1.26)","(70.72, 0.67)","(67.64, 1.18)","(179.28, 2.19)"
rcm,"(80.92, 0.99)","(81.1, 1.17)","(83.4, 0.99)","(83.21, 1.27)","(70.68, 1.49)","(68.65, 0.84)","(191.61, 5.82)"
rcm,"(80.75, 2.11)","(81.1, 1.84)","(83.4, 1.27)","(83.39, 1.18)","(71.82, 1.36)","(68.7, 2.46)","(215.1, 8.48)         多任务训练 动态调节了损失权重 72%+的三分类准确率 2层transformer"
rcm,"(78.73, 3.4)","(79.32, 3.08)","(81.75, 2.05)","(81.91, 1.89)","(69.94, 2.4)","(68.65, 1.24)","(224.33, 12.05)      多任务训练 动态调节了损失权重 4层transformer"
rcm,"(80.79, 1.39)","(80.92, 1.24)","(82.83, 1.53)","(82.62, 1.55)","(70.73, 2.38)","(68.08, 2.66)","(213.49, 9.75)     多任务训练 动态调节了损失权重 1层transformer"
rcm,"(82.1, 1.69)","(82.19, 1.51)","(83.76, 1.12)","(83.56, 1.03)","(71.68, 1.03)","(67.61, 0.75)","(209.73, 8.06)      多任务训练 动态调节了损失权重 2层transformer  残差0.5     性能较优"
rcm,"(80.31, 1.63)","(80.71, 1.49)","(82.58, 1.1)","(82.61, 1.02)","(70.81, 1.05)","(66.72, 1.51)","(213.82, 12.91)     多任务训练 动态调节了损失权重 2层transformer  残差0.3"
rcm,"(81.01, 2.16)","(81.22, 2.11)","(82.68, 2.2)","(82.57, 2.32)","(70.72, 2.13)","(67.91, 0.85)","(213.8, 8.84)       多任务训练 动态调节了损失权重 2层transformer  残差0.7"
rcm,"(79.39, 0.79)","(79.65, 1.04)","(82.06, 1.36)","(81.9, 1.81)","(70.55, 1.28)","(67.78, 2.5)","(219.89, 9.25)       多任务训练 动态调节了损失权重 3层transformer  残差0.5"
rcm,"(79.78, 1.47)","(79.86, 0.82)","(81.55, 0.35)","(81.25, 0.76)","(69.02, 2.01)","(67.16, 1.54)","(216.68, 10.37)    多任务训练 动态调节了损失权重 3层transformer  门控残差"
rcm,"(80.04, 1.47)","(80.02, 1.12)","(81.81, 1.1)","(81.41, 1.29)","(70.07, 1.16)","(67.33, 2.31)","(224.57, 8.44)      多任务训练 动态调节了损失权重 2层transformer  门控残差"
rcm,"(76.85, 1.32)","(76.4, 1.83)","(78.4, 2.66)","(77.47, 3.81)","(66.91, 2.49)","(62.42, 4.24)","(223.58, 8.03)       多任务训练 动态调节了损失权重 2层transformer  门控残差 总和为1"
rcm,"(79.65, 1.67)","(79.83, 1.45)","(82.22, 1.49)","(81.99, 1.78)","(70.55, 2.33)","(68.75, 3.28)","(225.89, 5.38)     多任务训练 动态调节了损失权重 2层transformer  门控残差 拼接"
rcm,"(80.35, 1.77)","(80.54, 1.64)","(82.53, 1.51)","(82.35, 1.55)","(70.9, 1.21)","(68.78, 1.78)","(217.54, 11.96)     多任务训练 动态调节了损失权重 2层transformer  门控残差 拼接 +0.5"
rcm,"(80.61, 2.37)","(80.97, 2.01)","(82.94, 1.38)","(82.94, 1.2)","(70.5, 1.13)","(67.44, 1.21)","(224.3, 8.01)"
rcm,"(79.12, 2.67)","(79.72, 2.41)","(82.27, 2.01)","(82.43, 1.84)","(69.98, 2.04)","(67.58, 1.33)","(221.62, 10.29)"
rcm,"(79.61, 2.21)","(79.98, 1.8)","(82.32, 1.18)","(82.28, 0.94)","(70.42, 1.52)","(67.5, 1.39)","(219.48, 9.45)"
rcm,"(81.05, 0.95)","(81.37, 0.85)","(83.45, 0.7)","(83.42, 0.67)","(70.98, 0.97)","(70.15, 0.74)","(340.62, 10.85)     多任务训练 1,1,1,1  2层transformer"
rcm,"(81.53, 0.71)","(81.67, 0.62)","(83.4, 0.74)","(83.22, 0.78)","(71.77, 0.72)","(69.18, 1.74)","(338.29, 8.54)      多任务训练 1,1,1,1  2层transformer"
rcm,"(81.05, 0.47)","(81.41, 0.43)","(83.51, 0.36)","(83.5, 0.36)","(71.64, 0.86)","(70.92, 0.71)","(340.79, 11.03)"
rcm,"(77.37, 0.98)","(77.84, 0.7)","(80.36, 0.34)","(80.33, 0.62)","(68.93, 0.76)","(67.07, 0.5)","(343.62, 6.35)       "
rcm,"(76.89, 1.08)","(77.28, 0.76)","(79.95, 0.84)","(79.82, 1.29)","(68.18, 1.71)","(66.92, 1.04)","(346.59, 9.61)"
rcm,"(78.38, 1.57)","(78.72, 1.44)","(81.19, 0.94)","(81.06, 0.92)","(69.28, 1.46)","(66.47, 1.83)","(77.14, 1.65)"
rcm,"(78.47, 1.73)","(78.81, 1.6)","(81.29, 1.14)","(81.17, 1.13)","(69.37, 1.72)","(66.66, 2.0)","(77.16, 1.67)"
rcm,"(78.38, 1.56)","(78.72, 1.43)","(81.13, 0.97)","(81.01, 0.95)","(69.32, 1.54)","(66.59, 1.9)","(77.17, 1.62)"
rcm,"(53.61, 12.52)","(48.12, 13.72)","(54.12, 8.61)","(47.61, 10.67)","(35.27, 13.11)","(28.95, 14.27)","(64.56, 1.65)"
rcm,"(53.61, 12.52)","(48.12, 13.72)","(54.12, 8.61)","(47.61, 10.67)","(35.27, 13.11)","(28.95, 14.27)","(64.56, 1.65)"
rcm,"(77.55, 1.53)","(77.49, 1.04)","(78.97, 1.15)","(78.48, 1.2)","(67.0, 1.02)","(61.86, 1.36)","(80.42, 1.06)"
rcm,"(77.55, 1.53)","(77.49, 1.04)","(78.97, 1.15)","(78.48, 1.2)","(67.0, 1.02)","(61.86, 1.36)","(80.42, 1.06)"
rcm,"(78.47, 1.06)","(78.75, 0.82)","(80.93, 1.31)","(80.78, 1.32)","(69.1, 1.5)","(66.33, 1.77)","(348.03, 10.35)"
rcm,"(78.47, 1.06)","(78.75, 0.82)","(80.93, 1.31)","(80.78, 1.32)","(69.1, 1.5)","(66.33, 1.77)","(348.03, 10.35)"
rcm,"(78.47, 1.06)","(78.75, 0.82)","(80.93, 1.31)","(80.78, 1.32)","(69.1, 1.5)","(66.33, 1.77)","(348.03, 10.35)"
rcm,"(78.47, 1.06)","(78.75, 0.82)","(80.93, 1.31)","(80.78, 1.32)","(69.1, 1.5)","(66.33, 1.77)","(348.03, 10.35)"
rcm,"(80.22, 1.92)","(80.42, 1.65)","(82.16, 1.35)","(82.01, 1.23)","(70.46, 1.48)","(68.73, 1.14)","(337.72, 7.52)"
rcm,"(80.0, 1.8)","(80.29, 1.57)","(82.42, 1.24)","(82.33, 1.19)","(70.77, 1.33)","(68.47, 2.31)","(339.6, 7.34)"
rcm,"(81.36, 0.43)","(81.52, 0.53)","(83.3, 0.93)","(83.14, 1.01)","(71.29, 1.26)","(69.22, 0.87)","(335.5, 6.88)"
rcm,"(80.79, 1.01)","(81.16, 0.93)","(83.15, 0.84)","(83.15, 0.82)","(71.12, 0.6)","(70.26, 0.8)","(339.7, 9.52)"
rcm,"(80.0, 1.8)","(80.2, 1.43)","(82.22, 0.78)","(82.05, 0.81)","(71.33, 1.1)","(69.35, 2.26)","(303.68, 4.25)         transformer后的音频特征"
rcm,"(80.53, 0.66)","(80.58, 0.54)","(82.22, 0.97)","(81.94, 1.23)","(70.9, 0.98)","(69.2, 2.21)","(306.07, 3.2)        transformer后的音频特征"
rcm,"(79.12, 2.33)","(79.42, 2.18)","(82.32, 1.54)","(82.16, 1.7)","(70.98, 1.33)","(69.66, 1.98)","(184.61, 12.01)     transformer后的音频特征 动态调整权重"
rcm,"(78.6, 2.88)","(79.0, 2.54)","(82.01, 1.38)","(81.96, 1.29)","(71.11, 0.74)","(70.3, 1.17)","(183.94, 10.04)       ransformer后的音频特征 动态调整权重"
rcm,"(78.43, 2.93)","(79.01, 2.59)","(81.91, 1.63)","(82.03, 1.39)","(70.24, 1.08)","(68.84, 0.86)","(196.39, 1.64)     动态调整权重"
rcm,"(80.04, 1.26)","(79.85, 1.54)","(81.55, 1.5)","(80.99, 1.86)","(69.1, 1.46)","(66.58, 3.04)","(77.47, 3.12)        单任务"
rcm,"(79.83, 1.13)","(79.55, 1.37)","(81.18, 1.28)","(80.55, 1.68)","(69.19, 1.65)","(66.35, 3.32)","(77.85, 3.15)      单任务"
lf_dnn,"(80.61, 1.47)","(80.96, 1.2)","(83.45, 0.77)","(83.42, 0.58)","(71.07, 0.81)","(66.66, 1.75)","(74.02, 1.85)"
lf_dnn,"(80.61, 1.47)","(80.96, 1.2)","(83.45, 0.77)","(83.42, 0.58)","(71.07, 0.81)","(66.66, 1.75)","(74.02, 1.85)"
ef_lstm,"(69.37, 0.0)","(56.82, 0.0)","(63.92, 0.0)","(49.85, 0.0)","(54.27, 0.0)","(38.18, 0.0)","(98.13, 0.57)"
tfn,"(76.1, 2.25)","(76.64, 2.06)","(78.61, 2.09)","(78.65, 2.03)","(66.87, 1.86)","(61.69, 1.81)","(81.61, 2.12)"
lmf,"(75.49, 4.65)","(75.56, 4.14)","(77.78, 2.97)","(77.37, 2.89)","(66.57, 1.8)","(62.58, 0.7)","(84.77, 2.69)"
graph_mfn,"(77.64, 1.13)","(77.93, 0.87)","(80.52, 0.84)","(80.32, 0.88)","(68.88, 0.72)","(65.32, 2.17)","(77.92, 1.44)"
mult,"(75.58, 1.93)","(73.5, 5.32)","(76.34, 4.83)","(73.59, 8.7)","(64.33, 4.09)","(59.41, 8.33)","(83.38, 4.77)"
misa,"(76.06, 1.9)","(76.11, 1.95)","(77.78, 1.84)","(77.35, 2.7)","(66.09, 1.6)","(60.79, 2.5)","(82.79, 3.23)"
mlf_dnn,"(80.35, 1.61)","(80.7, 1.32)","(83.14, 0.96)","(83.1, 0.87)","(71.2, 0.63)","(67.72, 1.69)","(332.68, 9.7)"
mtfn,"(80.92, 1.41)","(81.23, 1.2)","(83.46, 1.2)","(83.4, 1.21)","(71.68, 1.3)","(69.06, 1.09)","(248.06, 5.68)"
mlmf,"(80.79, 1.1)","(80.98, 0.98)","(82.63, 0.97)","(82.48, 1.15)","(70.59, 1.86)","(68.58, 2.25)","(254.79, 7.85)"
rcm,"(79.08, 1.35)","(78.93, 1.21)","(80.98, 1.09)","(80.41, 1.45)","(68.88, 1.41)","(65.42, 2.43)","(77.23, 3.02)"
rcm,"(78.86, 1.42)","(78.98, 1.27)","(80.93, 0.91)","(80.63, 1.08)","(69.32, 1.25)","(66.51, 0.99)","(75.57, 2.89)"
rcm,"(80.35, 1.74)","(80.24, 1.86)","(82.01, 1.82)","(81.55, 2.2)","(69.28, 2.37)","(66.19, 2.28)","(78.14, 7.45)"
rcm,"(79.61, 1.4)","(79.64, 1.48)","(81.86, 1.58)","(81.49, 1.94)","(69.76, 1.55)","(66.41, 2.03)","(77.76, 5.73)"
rcm,"(79.74, 0.38)","(79.8, 0.6)","(81.7, 1.19)","(81.39, 1.55)","(69.32, 1.86)","(67.16, 2.41)","(75.94, 5.47)"
rcm,"(79.7, 1.06)","(79.52, 0.89)","(81.44, 0.88)","(80.89, 1.07)","(68.8, 1.64)","(64.76, 1.9)","(76.22, 3.09)"
rcm,"(79.26, 1.01)","(78.93, 0.59)","(80.57, 0.62)","(79.86, 1.15)","(69.02, 0.47)","(64.25, 0.94)","(78.16, 1.56)"
rcm,"(79.96, 1.16)","(79.58, 1.4)","(81.34, 1.57)","(80.6, 1.89)","(68.97, 1.68)","(65.1, 2.51)","(77.11, 3.07)"
rcm,"(79.82, 1.74)","(79.53, 1.98)","(81.08, 1.97)","(80.43, 2.39)","(68.93, 2.26)","(66.1, 3.92)","(78.14, 2.64)"
rcm,"(81.27, 0.89)","(81.45, 0.72)","(83.2, 0.62)","(83.05, 0.58)","(71.25, 0.54)","(69.48, 1.6)","(340.36, 11.37)"
rcm,"(82.28, 0.53)","(82.4, 0.58)","(83.97, 0.82)","(83.81, 0.89)","(71.86, 0.3)","(69.8, 1.92)","(338.61, 9.6)         外加后期融合"
rcm,"(82.14, 1.04)","(82.25, 1.29)","(84.28, 1.39)","(84.07, 1.73)","(72.3, 1.12)","(70.97, 1.81)","(334.13, 4.59)      外加后期融合"
rcm,"(82.93, 0.65)","(83.11, 0.72)","(84.84, 0.94)","(84.74, 1.02)","(71.82, 1.6)","(70.01, 2.29)","(338.74, 9.32)      外加后期融合"
rcm,"(80.52, 2.69)","(80.93, 2.34)","(83.35, 2.12)","(83.37, 1.93)","(71.07, 1.74)","(70.04, 1.58)","(219.78, 7.01)     外加后期融合 动态损失"
rcm,"(82.23, 1.01)","(82.18, 1.02)","(83.81, 0.95)","(83.47, 1.1)","(71.99, 0.76)","(68.49, 1.51)","(325.01, 6.67)      外加后期融合 动态损失"
rcm,"(82.41, 1.35)","(82.3, 1.53)","(83.87, 1.71)","(83.48, 1.98)","(72.17, 1.5)","(68.54, 1.97)","(285.43, 7.24)       外加后期融合 动态损失"
rcm,"(82.32, 1.08)","(82.45, 1.12)","(84.12, 1.12)","(83.96, 1.32)","(71.68, 0.53)","(69.24, 2.41)","(287.14, 2.62)"
rcm,"(81.49, 0.79)","(81.59, 0.98)","(83.51, 1.12)","(83.27, 1.4)","(72.21, 1.46)","(70.61, 2.3)","(331.23, 9.61)       外加后期融合 添加门控"
rcm,"(81.57, 0.59)","(81.7, 0.8)","(83.66, 0.9)","(83.46, 1.12)","(72.04, 0.81)","(70.44, 1.58)","(330.6, 7.54)         外加后期融合 添加门控"
rcm,"(81.88, 1.51)","(82.07, 1.24)","(84.38, 0.83)","(84.24, 0.77)","(72.38, 1.32)","(70.35, 1.1)","(305.01, 4.01)"
rcm,"(80.79, 2.56)","(81.21, 2.33)","(83.82, 1.9)","(83.85, 1.76)","(72.21, 1.6)","(69.66, 2.04)","(260.69, 4.45)"
rcm,"(81.23, 2.77)","(81.61, 2.55)","(84.33, 2.11)","(84.33, 2.0)","(73.04, 1.95)","(70.33, 2.61)","(259.2, 5.61)       外加后期融合 添加门控"
rcm,"(81.84, 1.71)","(82.19, 1.53)","(84.74, 0.83)","(84.73, 0.79)","(73.39, 0.56)","(71.15, 1.2)","(258.45, 1.43)      最优性能 动态损失 添加门控 后期融合 融合后音频特征"
rcm,"(81.05, 1.39)","(80.9, 1.88)","(83.09, 2.59)","(82.59, 3.37)","(71.68, 2.71)","(68.84, 3.85)","(261.45, 6.94)"
rcm,"(81.4, 1.28)","(81.72, 1.18)","(84.64, 0.58)","(84.57, 0.55)","(73.44, 0.64)","(71.1, 1.23)","(257.17, 2.72)"
rcm_2,"(81.05, 1.17)","(80.87, 1.57)","(83.04, 2.54)","(82.51, 3.32)","(71.55, 2.53)","(68.36, 3.44)","(261.04, 7.11)"
rcm_2,"(81.1, 1.66)","(81.42, 1.44)","(84.13, 0.96)","(84.07, 0.81)","(73.04, 0.4)","(70.59, 1.18)","(259.49, 3.05)"
rcm,"(78.86, 2.84)","(79.33, 2.39)","(82.17, 1.34)","(82.19, 1.17)","(70.68, 1.21)","(68.1, 2.15)","(305.38, 6.96)"
rcm,"(79.12, 1.69)","(79.64, 1.52)","(82.58, 1.24)","(82.64, 1.17)","(71.47, 1.35)","(69.02, 2.16)","(308.64, 3.98)"
rcm,"(79.78, 1.61)","(80.13, 1.45)","(82.63, 1.16)","(82.56, 1.08)","(70.37, 3.5)","(69.37, 3.26)","(308.08, 2.26)"
rcm,"(78.16, 1.42)","(78.65, 1.2)","(81.44, 0.71)","(81.45, 0.65)","(69.28, 0.9)","(65.88, 1.96)","(76.36, 1.57)"
