Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Acc_3,F1_score_3,Loss
rcm_5,"(80.52, 2.58)","(80.9, 2.26)","(83.45, 1.18)","(83.45, 1.28)","(72.56, 1.58)","(69.67, 2.82)","(310.16, 6.21)"
rcm_5,"(80.57, 2.75)","(80.92, 2.34)","(83.35, 1.04)","(83.32, 1.21)","(71.99, 1.03)","(70.04, 1.53)","(308.98, 3.98)"
rcm_5,"(80.96, 1.12)","(81.26, 1.06)","(84.17, 0.81)","(84.07, 0.94)","(72.39, 0.96)","(68.86, 1.81)","(307.55, 5.53)"
rcm_5,"(79.87, 2.62)","(80.25, 2.37)","(83.25, 1.92)","(83.2, 1.79)","(71.42, 1.69)","(67.92, 1.91)","(307.71, 3.96)"
rcm_2,"(80.13, 4.41)","(80.54, 4.02)","(83.45, 3.03)","(83.47, 2.79)","(71.38, 2.49)","(67.67, 2.8)","(308.43, 7.05)"
rcm_5,"(80.39, 1.23)","(80.8, 1.21)","(83.87, 0.87)","(83.85, 0.91)","(72.12, 1.05)","(68.27, 1.69)","(307.87, 4.49)"
rcm,"(80.22, 1.25)","(80.3, 1.13)","(82.27, 0.88)","(81.99, 0.93)","(70.68, 0.93)","(67.06, 2.09)","(309.51, 9.34)"
rcm_2,"(79.12, 4.01)","(79.66, 3.67)","(83.09, 3.03)","(83.18, 2.82)","(71.12, 2.47)","(67.72, 2.91)","(307.04, 7.81)"
rcm_2,"(80.88, 1.12)","(81.35, 1.01)","(84.85, 0.75)","(84.89, 0.71)","(73.0, 0.35)","(69.23, 1.04)","(304.93, 5.08)"
rcm_2,"(81.31, 1.01)","(81.73, 0.88)","(85.0, 0.84)","(85.01, 0.73)","(73.13, 0.61)","(69.24, 0.97)","(302.81, 4.09)"
rcm_2,"(81.66, 1.29)","(81.98, 1.04)","(84.54, 1.04)","(84.49, 0.95)","(72.3, 0.75)","(68.51, 1.38)","(306.4, 4.08)"
rcm_2,"(79.52, 3.99)","(79.99, 3.65)","(83.09, 3.02)","(83.14, 2.82)","(71.16, 2.63)","(67.6, 3.25)","(307.94, 8.22)"
rcm_2,"(79.47, 4.05)","(79.97, 3.66)","(83.3, 2.92)","(83.36, 2.7)","(71.12, 2.41)","(67.32, 2.64)","(309.01, 6.77)"
